iteration,reward
0,20
1,20
2,12
3,16
4,30
5,30
6,24
7,30
8,24
9,18
10,16
11,26
12,16
13,18
14,18
15,16
16,22
17,28
18,22
19,22
20,16
21,12
22,14
23,12
24,18
25,18
26,18
27,16
28,16
29,16
30,20
31,20
32,16
33,18
34,8
35,30
36,28
37,22
38,28
39,28
40,18
41,24
42,16
43,18
44,28
45,30
46,40
47,18
48,10
49,16
50,26
51,20
52,16
53,18
54,12
55,16
56,14
57,30
58,22
59,16
60,20
61,28
62,20
63,16
64,26
65,28
66,22
67,10
68,22
69,14
70,32
71,26
72,22
73,18
74,26
75,6
76,14
77,24
78,22
79,24
80,20
81,16
82,26
83,36
84,22
85,24
86,16
87,22
88,26
89,16
90,24
91,14
92,26
93,26
94,20
95,18
96,18
97,22
98,28
99,30
100,14
101,28
102,18
103,24
104,22
105,18
106,18
107,22
108,34
109,32
110,26
111,16
112,14
113,12
114,20
115,16
116,28
117,20
118,28
119,20
120,26
121,12
122,10
123,26
124,20
125,36
126,12
127,22
128,10
129,24
130,28
131,22
132,26
133,20
134,20
135,8
136,18
137,28
138,18
139,30
140,24
141,22
142,20
143,30
144,10
145,16
146,32
147,24
148,18
149,18
150,14
151,20
152,10
153,16
154,6
155,18
156,24
157,16
158,16
159,30
160,14
161,16
162,24
163,14
164,20
165,18
166,34
167,22
168,18
169,22
170,12
171,38
172,14
173,10
174,10
175,14
176,22
177,16
178,20
179,16
180,16
181,18
182,14
183,18
184,28
185,16
186,26
187,10
188,12
189,18
190,30
191,26
192,28
193,28
194,10
195,28
196,26
197,14
198,20
199,26
200,14
201,20
202,20
203,18
204,16
205,24
206,26
207,16
208,18
209,16
210,26
211,20
212,24
213,18
214,34
215,30
216,12
217,36
218,14
219,6
220,22
221,22
222,14
223,30
224,12
225,26
226,24
227,26
228,38
229,28
230,14
231,16
232,18
233,14
234,12
235,30
236,26
237,16
238,22
239,20
240,20
241,20
242,8
243,12
244,30
245,10
246,22
247,18
248,28
249,22
250,30
251,26
252,4
253,16
254,44
255,28
256,34
257,20
258,12
259,20
260,12
261,26
262,24
263,22
264,6
265,20
266,24
267,16
268,18
269,32
270,18
271,18
272,14
273,22
274,28
275,14
276,22
277,16
278,22
279,26
280,28
281,24
282,28
283,30
284,20
285,22
286,26
287,12
288,22
289,22
290,10
291,34
292,12
293,22
294,8
295,12
296,20
297,22
298,28
299,32
300,24
301,30
302,16
303,24
304,28
305,6
306,8
307,34
308,18
309,22
310,6
311,18
312,22
313,26
314,18
315,14
316,16
317,20
318,12
319,22
320,20
321,22
322,22
323,22
324,14
325,26
326,18
327,24
328,20
329,16
330,26
331,30
332,14
333,6
334,18
335,26
336,26
337,34
338,14
339,32
340,12
341,24
342,20
343,22
344,18
345,24
346,32
347,14
348,20
349,28
350,26
351,22
352,20
353,32
354,24
355,18
356,16
357,34
358,16
359,24
360,8
361,18
362,24
363,26
364,20
365,14
366,20
367,16
368,24
369,20
370,16
371,22
372,20
373,20
374,22
375,24
376,18
377,20
378,30
379,16
380,18
381,28
382,30
383,16
384,4
385,22
386,20
387,14
388,12
389,22
390,16
391,12
392,24
393,20
394,18
395,24
396,18
397,30
398,36
399,20
400,26
401,20
402,26
403,30
404,14
405,24
406,20
407,12
408,22
409,16
410,18
411,24
412,20
413,16
414,32
415,32
416,8
417,16
418,14
419,24
420,28
421,24
422,18
423,20
424,22
425,20
426,26
427,14
428,16
429,10
430,24
431,22
432,28
433,24
434,18
435,24
436,20
437,8
438,28
439,24
440,18
441,26
442,28
443,18
444,16
445,12
446,18
447,20
448,18
449,24
450,22
451,32
452,14
453,24
454,24
455,28
456,22
457,20
458,30
459,16
460,16
461,18
462,14
463,24
464,18
465,16
466,14
467,18
468,14
469,12
470,18
471,20
472,16
473,20
474,14
475,26
476,28
477,22
478,14
479,24
480,18
481,28
482,24
483,16
484,28
485,22
486,20
487,18
488,12
489,16
490,18
491,22
492,20
493,22
494,16
495,16
496,18
497,12
498,16
499,14
500,20
501,22
502,34
503,14
504,22
505,14
506,26
507,12
508,30
509,16
510,18
511,22
512,30
513,20
514,20
515,12
516,26
517,20
518,24
519,24
520,24
521,22
522,32
523,22
524,24
525,16
526,20
527,32
528,20
529,14
530,18
531,14
532,40
533,14
534,26
535,8
536,20
537,22
538,24
539,22
540,18
541,32
542,22
543,22
544,24
545,22
546,14
547,22
548,12
549,18
550,22
551,24
552,24
553,32
554,22
555,14
556,18
557,24
558,26
559,20
560,30
561,22
562,32
563,20
564,16
565,32
566,18
567,14
568,28
569,32
570,30
571,10
572,22
573,8
574,16
575,20
576,10
577,26
578,26
579,20
580,16
581,24
582,26
583,24
584,18
585,16
586,24
587,28
588,30
589,26
590,16
591,16
592,28
593,26
594,22
595,18
596,24
597,24
598,14
599,24
600,14
601,18
602,26
603,12
604,20
605,28
606,32
607,28
608,8
609,12
610,22
611,20
612,18
613,34
614,28
615,18
616,18
617,38
618,18
619,30
620,18
621,14
622,28
623,26
624,22
625,20
626,12
627,24
628,24
629,22
630,16
631,14
632,14
633,16
634,22
635,24
636,28
637,26
638,26
639,34
640,18
641,16
642,20
643,10
644,14
645,26
646,10
647,30
648,16
649,18
650,16
651,22
652,22
653,22
654,18
655,16
656,10
657,32
658,12
659,18
660,8
661,14
662,14
663,26
664,10
665,26
666,16
667,22
668,20
669,22
670,36
671,18
672,30
673,20
674,26
675,30
676,30
677,16
678,12
679,14
680,28
681,26
682,18
683,26
684,22
685,12
686,18
687,18
688,28
689,30
690,28
691,20
692,12
693,28
694,28
695,24
696,48
697,30
698,30
699,18
700,38
701,12
702,20
703,32
704,20
705,26
706,22
707,18
708,10
709,10
710,24
711,28
712,16
713,28
714,32
715,28
716,16
717,10
718,8
719,16
720,22
721,24
722,24
723,10
724,20
725,34
726,32
727,24
728,18
729,26
730,26
731,22
732,28
733,30
734,10
735,20
736,12
737,34
738,20
739,20
740,20
741,20
742,22
743,16
744,18
745,16
746,22
747,14
748,20
749,24
750,18
751,10
752,16
753,18
754,24
755,18
756,12
757,24
758,20
759,26
760,26
761,16
762,22
763,28
764,24
765,26
766,28
767,16
768,20
769,26
770,20
771,22
772,8
773,26
774,26
775,30
776,22
777,24
778,28
779,26
780,16
781,22
782,26
783,18
784,28
785,20
786,22
787,10
788,14
789,18
790,28
791,22
792,26
793,20
794,16
795,12
796,12
797,30
798,26
799,8
800,18
801,26
802,22
803,16
804,12
805,14
806,22
807,16
808,12
809,32
810,28
811,20
812,18
813,18
814,22
815,40
816,12
817,10
818,16
819,32
820,32
821,22
822,30
823,16
824,28
825,10
826,18
827,14
828,18
829,32
830,20
831,14
832,18
833,8
834,12
835,26
836,20
837,28
838,12
839,40
840,20
841,30
842,30
843,22
844,26
845,28
846,16
847,28
848,20
849,6
850,26
851,30
852,24
853,14
854,32
855,34
856,14
857,14
858,20
859,30
860,10
861,22
862,10
863,20
864,38
865,26
866,22
867,14
868,20
869,28
870,18
871,20
872,32
873,32
874,14
875,26
876,16
877,18
878,16
879,26
880,24
881,12
882,18
883,22
884,26
885,14
886,22
887,28
888,30
889,16
890,28
891,22
892,36
893,30
894,20
895,14
896,22
897,20
898,10
899,26
900,14
901,18
902,16
903,16
904,20
905,26
906,20
907,30
908,22
909,16
910,22
911,26
912,24
913,18
914,30
915,20
916,16
917,18
918,30
919,28
920,26
921,18
922,24
923,16
924,14
925,8
926,20
927,18
928,16
929,24
930,24
931,16
932,12
933,16
934,16
935,10
936,32
937,20
938,12
939,22
940,22
941,24
942,30
943,28
944,34
945,37
946,44
947,55
948,66
949,98
950,87
951,102
952,84
953,11
954,0
955,24
956,14
957,20
958,18
959,22
960,20
961,20
962,24
963,24
964,14
965,20
966,24
967,24
968,18
969,18
970,24
971,14
972,20
973,18
974,24
975,12
976,10
977,18
978,16
979,20
980,18
981,30
982,24
983,24
984,24
985,14
986,24
987,24
988,18
989,20
990,18
991,24
992,20
993,16
994,28
995,18
996,24
997,28
998,10
999,16
1000,22
1001,28
1002,20
1003,26
1004,30
1005,24
1006,26
1007,24
1008,34
1009,22
1010,20
1011,30
1012,20
1013,12
1014,12
1015,26
1016,8
1017,22
1018,16
1019,18
1020,10
1021,20
1022,30
1023,20
1024,12
1025,20
1026,22
1027,18
1028,8
1029,30
1030,22
1031,26
1032,16
1033,12
1034,20
1035,26
1036,26
1037,26
1038,12
1039,30
1040,16
1041,22
1042,32
1043,26
1044,20
1045,28
1046,22
1047,34
1048,22
1049,22
1050,20
1051,20
1052,20
1053,24
1054,40
1055,26
1056,28
1057,20
1058,20
1059,24
1060,8
1061,16
1062,36
1063,16
1064,22
1065,28
1066,22
1067,20
1068,28
1069,18
1070,22
1071,16
1072,18
1073,22
1074,20
1075,26
1076,24
1077,26
1078,20
1079,14
1080,16
1081,16
1082,14
1083,20
1084,28
1085,26
1086,10
1087,16
1088,22
1089,24
1090,16
1091,20
1092,10
1093,20
1094,26
1095,16
1096,12
1097,12
1098,30
1099,32
1100,26
1101,30
1102,14
1103,16
1104,26
1105,16
1106,24
1107,18
1108,18
1109,14
1110,16
1111,24
1112,26
1113,10
1114,22
1115,20
1116,20
1117,16
1118,20
1119,34
1120,20
1121,22
1122,16
1123,18
1124,28
1125,6
1126,18
1127,30
1128,12
1129,24
1130,24
1131,20
1132,22
1133,26
1134,24
1135,26
1136,22
1137,18
1138,16
1139,22
1140,30
1141,20
1142,16
1143,16
1144,26
1145,8
1146,20
1147,36
1148,18
1149,12
1150,20
1151,18
1152,22
1153,22
1154,14
1155,12
1156,18
1157,20
1158,40
1159,22
1160,18
1161,16
1162,24
1163,24
1164,14
1165,30
1166,10
1167,22
1168,16
1169,26
1170,22
1171,24
1172,22
1173,32
1174,18
1175,18
1176,22
1177,18
1178,24
1179,30
1180,26
1181,18
1182,12
1183,18
1184,16
1185,12
1186,14
1187,16
1188,38
1189,26
1190,32
1191,34
1192,22
1193,28
1194,24
1195,10
1196,20
1197,16
1198,14
1199,20
1200,16
1201,14
1202,14
1203,32
1204,8
1205,10
1206,26
1207,20
1208,20
1209,18
1210,20
1211,16
1212,28
1213,14
1214,22
1215,14
1216,26
1217,32
1218,14
1219,22
1220,20
1221,16
1222,30
1223,20
1224,22
1225,10
1226,16
1227,14
1228,26
1229,20
1230,20
1231,16
1232,26
1233,20
1234,14
1235,28
1236,20
1237,16
1238,16
1239,14
1240,14
1241,14
1242,32
1243,28
1244,24
1245,14
1246,16
1247,28
1248,14
1249,28
1250,22
1251,32
1252,20
1253,20
1254,16
1255,30
1256,12
1257,24
1258,10
1259,14
1260,8
1261,24
1262,18
1263,18
1264,26
1265,16
1266,18
1267,12
1268,26
1269,18
1270,20
1271,26
1272,22
1273,24
1274,20
1275,24
1276,20
1277,16
1278,20
1279,16
1280,28
1281,20
1282,12
1283,14
1284,20
1285,10
1286,28
1287,26
1288,32
1289,20
1290,22
1291,10
1292,14
1293,28
1294,16
1295,16
1296,34
1297,18
1298,16
1299,14
1300,18
1301,18
1302,12
1303,10
1304,26
1305,12
1306,20
1307,26
1308,16
1309,20
1310,28
1311,14
1312,16
1313,18
1314,32
1315,10
1316,10
1317,16
1318,30
1319,26
1320,24
1321,32
1322,22
1323,16
1324,4
1325,22
1326,16
1327,36
1328,18
1329,16
1330,14
1331,18
1332,30
1333,22
1334,16
1335,16
1336,18
1337,34
1338,14
1339,26
1340,20
1341,22
1342,22
1343,12
1344,18
1345,28
1346,22
1347,22
1348,26
1349,10
1350,22
1351,28
1352,26
1353,12
1354,12
1355,20
1356,30
1357,22
1358,20
1359,16
1360,24
1361,14
1362,18
1363,28
1364,26
1365,26
1366,14
1367,12
1368,24
1369,24
1370,16
1371,28
1372,34
1373,20
1374,20
1375,28
1376,34
1377,26
1378,12
1379,26
1380,16
1381,34
1382,30
1383,14
1384,10
1385,18
1386,14
1387,26
1388,24
1389,14
1390,18
1391,16
1392,34
1393,10
1394,26
1395,20
1396,24
1397,24
1398,14
1399,22
1400,26
1401,36
1402,12
1403,18
1404,18
1405,20
1406,20
1407,22
1408,20
1409,18
1410,24
1411,22
1412,24
1413,6
1414,20
1415,18
1416,24
1417,26
1418,8
1419,28
1420,18
1421,16
1422,8
1423,22
1424,14
1425,26
1426,16
1427,12
1428,28
1429,10
1430,10
1431,16
1432,28
1433,28
1434,14
1435,22
1436,30
1437,14
1438,16
1439,18
1440,22
1441,34
1442,20
1443,28
1444,16
1445,22
1446,28
1447,20
1448,20
1449,22
1450,28
1451,22
1452,10
1453,20
1454,26
1455,6
1456,20
1457,24
1458,16
1459,22
1460,16
1461,14
1462,22
1463,18
1464,24
1465,8
1466,8
1467,28
1468,16
1469,16
1470,22
1471,30
1472,30
1473,24
1474,20
1475,18
1476,20
1477,18
1478,24
1479,32
1480,30
1481,28
1482,18
1483,32
1484,14
1485,6
1486,30
1487,10
1488,34
1489,20
1490,22
1491,22
1492,24
1493,18
1494,16
1495,24
1496,26
1497,32
1498,16
1499,30
1500,18
1501,34
1502,24
1503,18
1504,16
1505,14
1506,14
1507,40
1508,18
1509,20
1510,14
1511,14
1512,6
1513,24
1514,24
1515,20
1516,24
1517,12
1518,14
1519,28
1520,22
1521,14
1522,22
1523,24
1524,20
1525,18
1526,10
1527,24
1528,24
1529,18
1530,24
1531,26
1532,8
1533,14
1534,32
1535,22
1536,18
1537,16
1538,30
1539,16
1540,24
1541,20
1542,20
1543,30
1544,22
1545,16
1546,20
1547,16
1548,18
1549,12
1550,28
1551,32
1552,28
1553,26
1554,20
1555,24
1556,16
1557,26
1558,14
1559,20
1560,24
1561,28
1562,12
1563,28
1564,24
1565,14
1566,20
1567,12
1568,22
1569,14
1570,18
1571,16
1572,30
1573,24
1574,28
1575,26
1576,16
1577,30
1578,24
1579,16
1580,18
1581,24
1582,12
1583,30
1584,14
1585,20
1586,24
1587,20
1588,20
1589,20
1590,16
1591,16
1592,28
1593,30
1594,12
1595,14
1596,26
1597,30
1598,12
1599,16
1600,16
1601,4
1602,32
1603,22
1604,16
1605,30
1606,26
1607,14
1608,26
1609,28
1610,16
1611,12
1612,16
1613,24
1614,28
1615,34
1616,22
1617,20
1618,18
1619,26
1620,26
1621,6
1622,26
1623,32
1624,28
1625,20
1626,18
1627,16
1628,16
1629,14
1630,20
1631,32
1632,30
1633,18
1634,34
1635,16
1636,12
1637,18
1638,26
1639,16
1640,26
1641,20
1642,22
1643,36
1644,20
1645,20
1646,18
1647,14
1648,28
1649,20
1650,38
1651,16
1652,22
1653,38
1654,12
1655,36
1656,30
1657,18
1658,22
1659,18
1660,20
1661,18
1662,20
1663,28
1664,16
1665,18
1666,36
1667,22
1668,10
1669,12
1670,18
1671,28
1672,22
1673,24
1674,20
1675,32
1676,14
1677,24
1678,22
1679,32
1680,16
1681,30
1682,24
1683,18
1684,20
1685,24
1686,22
1687,16
1688,16
1689,22
1690,14
1691,8
1692,34
1693,26
1694,26
1695,28
1696,22
1697,10
1698,18
1699,22
1700,12
1701,18
1702,20
1703,40
1704,16
1705,20
1706,16
1707,24
1708,16
1709,24
1710,18
1711,22
1712,16
1713,30
1714,12
1715,12
1716,14
1717,16
1718,22
1719,12
1720,20
1721,14
1722,24
1723,18
1724,8
1725,28
1726,18
1727,18
1728,4
1729,18
1730,18
1731,24
1732,8
1733,22
1734,30
1735,20
1736,18
1737,14
1738,16
1739,8
1740,14
1741,22
1742,24
1743,28
1744,26
1745,22
1746,30
1747,26
1748,6
1749,28
1750,26
1751,24
1752,6
1753,12
1754,42
1755,24
1756,16
1757,16
1758,18
1759,36
1760,22
1761,24
1762,28
1763,22
1764,24
1765,28
1766,18
1767,22
1768,26
1769,24
1770,16
1771,8
1772,22
1773,10
1774,34
1775,26
1776,24
1777,24
1778,32
1779,18
1780,16
1781,20
1782,34
1783,30
1784,10
1785,28
1786,18
1787,22
1788,26
1789,20
1790,34
1791,34
1792,24
1793,28
1794,18
1795,26
1796,18
1797,24
1798,22
1799,20
1800,16
1801,20
1802,14
1803,24
1804,6
1805,26
1806,26
1807,16
1808,16
1809,28
1810,24
1811,24
1812,22
1813,30
1814,12
1815,14
1816,18
1817,10
1818,22
1819,22
1820,30
1821,30
1822,14
1823,26
1824,26
1825,18
1826,28
1827,30
1828,14
1829,32
1830,28
1831,18
1832,28
1833,28
1834,18
1835,12
1836,18
1837,30
1838,28
1839,24
1840,18
1841,22
1842,16
1843,18
1844,24
1845,30
1846,30
1847,22
1848,14
1849,18
1850,16
1851,28
1852,10
1853,10
1854,20
1855,18
1856,22
1857,28
1858,18
1859,18
1860,20
1861,14
1862,22
1863,12
1864,26
1865,26
1866,12
1867,22
1868,18
1869,14
1870,22
1871,10
1872,22
1873,24
1874,24
1875,16
1876,22
1877,16
1878,14
1879,18
1880,12
1881,22
1882,26
1883,26
1884,20
1885,28
