iteration,reward
0,-22
1,25
2,75
3,60
4,2
5,-10
6,1
7,44
8,-8
9,14
10,95
11,31
12,59
13,32
14,45
15,-29
16,-36
17,-41
18,4
19,8
20,67
21,42
22,48
23,-45
24,29
25,-42
26,-1
27,-21
28,20
29,-17
30,29
31,16
32,-50
33,-1
34,-5
35,29
36,-20
37,93
38,11
39,63
40,-73
41,-78
42,29
43,19
44,28
45,39
46,56
47,-46
48,31
49,-89
50,-41
51,-72
52,10
53,-6
54,8
55,39
56,-8
57,-19
58,-55
59,-5
60,85
61,-26
62,11
63,40
64,58
65,-41
66,-39
67,79
68,-48
69,93
70,-52
71,-53
72,-51
73,20
74,-21
75,45
76,-7
77,81
78,-35
79,5
80,95
81,1
82,87
83,9
84,55
85,-13
86,-26
87,100
88,73
89,-27
90,-16
91,59
92,61
93,1
94,70
95,26
96,-3
97,61
98,3
99,-93
100,47
101,-16
102,-12
103,-40
104,87
105,80
106,5
107,61
108,37
109,35
110,8
111,7
112,-27
113,50
114,22
115,-1
116,-42
117,-57
118,81
119,93
120,24
121,-7
122,1
123,-56
124,1
125,0
126,80
127,5
128,3
129,-49
130,5
131,63
132,-7
133,24
134,73
135,83
136,-43
137,-78
138,87
139,-31
140,1
141,12
142,79
143,99
144,35
145,87
146,-64
147,87
148,14
149,-73
150,81
151,-5
152,79
153,64
154,22
155,8
156,89
157,-28
158,49
159,-44
160,85
161,71
162,24
163,21
164,-76
165,85
166,-38
167,-12
168,1
169,-17
170,-54
171,-7
172,-5
173,-38
174,-34
175,44
176,-16
177,1
178,24
179,-49
180,22
181,22
182,-36
183,65
184,-54
185,-19
186,-4
187,-27
188,-50
189,22
190,-74
191,-26
192,2
193,42
194,-20
195,71
196,40
197,57
198,87
199,60
200,-74
201,64
202,29
203,-11
204,50
205,11
206,85
207,24
208,4
209,44
210,89
211,79
212,-48
213,93
214,-22
215,11
216,54
217,93
218,-70
219,-85
220,92
221,-5
222,85
223,31
224,-9
225,60
226,68
227,27
228,2
229,93
230,99
231,29
232,85
233,-44
234,47
235,45
236,40
237,37
238,97
239,-22
240,76
241,79
242,-42
243,-25
244,89
245,12
246,56
247,40
248,75
249,64
250,-57
251,-15
252,3
253,43
254,40
255,-9
256,87
257,23
258,63
